sample,name,wavelength,cost,redchi,bic,aic,gamma,gamma_std,g1,g1_std,g2,g2_std,alpha1,alpha1_std,alpha2,alpha2_std,norm,bb_ratio,asymmetry_factor
Cylindrotheca,$\it{C. closterium}$,658,0.10193490273864417,0.020344226473750768,-425.45719783391047,-439.13819007588296,0.9970684955693209,0.0005272630050786407,0.919778492147754,0.0030350898602221703,-0.9279999999999999,0.03799392923725084,0.9579671152991053,0.020369905764992702,0.21749348272822042,0.09705780852932609,0.9999874054766602,0.004852593449136563,0.973373642648251
Dunaliella,$\it{D. salina}$,405,0.13012476598154282,0.04065256649920365,-527.0267943187688,-542.7351121012821,0.9943533996673323,0.03354689180956244,0.8458789923708703,0.008767156911337962,-0.8680236331555881,0.033043644581402874,0.5418712410107085,0.027331689648461874,7.789535585749059e-13,0.003313350641302864,1.0000055618771686,0.036900649332121824,0.8458353676894482
Dunaliella,$\it{D. salina}$,443,0.15057433918103053,0.036546978245629275,-545.2320463673999,-560.9403641499132,0.9941146345247351,0.047291856241424256,0.9182860532105299,0.006523346179902311,-0.8841035941967379,0.027575140798654172,0.4448142780149577,0.01937861298251164,2.2411689209456053e-12,0.033107750608723105,1.0000018598882146,0.02772738465229041,0.890212987969878
Dunaliella,$\it{D. salina}$,515,0.09972316618677221,0.015543171949305561,-691.4331251641947,-707.141442946708,0.9963654495593295,0.001734231411713795,0.9535015377080949,0.0036264676952831583,-0.915122358907581,0.08501309949061343,0.12370740188887226,0.010537583892410319,0.519828056033275,0.5834483099068893,0.9999697187415906,0.061205071748184924,0.7970821420957769
Dunaliella,$\it{D. salina}$,658,0.07652671299159676,0.009326595558760769,-778.7716116337048,-794.479929416218,0.992702993408336,0.009848613759593944,0.9291090416230816,0.0034030451320028374,-0.9099592035195759,0.046538911195469435,0.16499171059148304,0.010521191866748197,4.576772284442198e-11,0.17153891118359568,0.9999898868583493,0.06626491254377546,0.7785634940714307
Karenia,$\it{K. mikimotoi}$,405,0.08708808628004279,0.021867980805455964,-417.22339473016666,-430.90438697213915,0.9949592575824437,0.07325196376949417,0.9484616802936674,0.00589988050727608,-0.8815746491890732,0.03278269682614404,0.5275083409771789,0.019244353946113374,9.959473805853772e-12,0.09272556864691334,1.000000490219208,0.013934412509983002,0.9431053317714228
Karenia,$\it{K. mikimotoi}$,443,0.10756194175122125,0.04039852482056558,-347.25364132962886,-360.93463357160135,0.9945391688463755,0.0007542359211984509,0.9432228597120519,0.0045685554462877335,-0.8339736779799618,0.05853396353104631,0.6106958860046493,0.027933455379535323,0.14148244689328418,0.22324434905312343,1.0000025879166161,0.01183359194189819,0.9507278176266674
Karenia,$\it{K. mikimotoi}$,515,0.1239250096422045,0.05522847075128011,-311.6075142980034,-325.2885065399759,0.9957568085383414,0.000871942344120099,0.9442219630597147,0.0053299215545098136,-0.8425077271778048,0.07789770341066438,0.5908418220783415,0.03194644982287388,0.1016344364620692,0.2978415743368656,1.0000041329789042,0.01130814060393441,0.9511948300252179
Karenia,$\it{K. mikimotoi}$,658,0.1356064172686804,0.07570608917408857,-275.6541942247443,-289.3351864667168,0.9946316767485179,0.0006354253466857518,0.9432398053190836,0.005781560822929467,-0.6835564729501641,0.09274482596845895,0.6353845055142615,0.034592943839841864,1.1467775025405111,0.7667801039361741,1.000003129787066,0.011347187763497421,0.9530860630767457
Skeletonema,$\it{S. cf. costatum}$,405,0.10870131006208533,0.017845946536054,-440.39356477580947,-454.07455701778196,0.9979898429754022,0.000610828623676055,0.9697612944010401,0.001803406762633683,-0.9279999999999999,0.05754993816192466,0.49735523409594334,0.012728976005315553,0.2769777888005429,0.208974475084105,0.9999798319330095,0.008340410642582032,0.964695236360834
Skeletonema,$\it{S. cf. costatum}$,443,0.15199877940490406,0.041458761965849106,-344.30036010279855,-357.98135234477104,0.9983221193543173,0.0006988765897976808,0.9495658151517484,0.0036378223046669694,-0.9279999999999999,0.08485456998062359,0.647610985589804,0.02275438105623001,0.232869306540211,0.2881288666429412,0.9999937884813795,0.006501635952247471,0.9676956681744273
Skeletonema,$\it{S. cf. costatum}$,515,0.12613406574372993,0.036181916364415825,-359.82029725265977,-373.50128949463226,0.9977546166826422,0.0007886594033931706,0.9601448747913429,0.0030452234730184704,-0.9279999999999999,0.07616206305042629,0.5695094290468236,0.02021279699159169,0.198373563683155,0.24245734630439222,0.9999872564890017,0.007776854074490859,0.9653508137970488
Skeletonema,$\it{S. cf. costatum}$,658,0.16416619142027394,0.045315799159595924,-334.15931985840774,-347.84031210038023,0.9984618698201493,0.0008440286705408622,0.9670962152417915,0.0026529676526225844,-0.9279999999999999,0.08022376507423705,0.5996259133071242,0.019841571077582075,0.43363597303033546,0.32845097374976356,0.9999785145843869,0.005250511476462197,0.9756960535989891
