sample  backscattering ratio (bbp/bp)
Arizona dust  0.0201352
C. autotrophica  0.0073562
C. closterium  0.0113045
D. salina  0.0871129
K. mikimotoi  0.0256559
S. cf. costatum  0.0150452
Beads_3µm  0.0668728
Beads_300nm  0.0337081
Formazin(2ntu)  0.0557714
Formazin(4ntu)  0.0561283
"Angle(deg)"  "pf_Arizona dust"  "pf_C. autotrophica"  "pf_C. closterium"  "pf_D. salina"  "pf_K. mikimotoi"  "pf_S. cf. costatum"  "pf_Beads_3µm"  "pf_Beads_300nm"  "pf_Formazin(2ntu)"  "pf_Formazin(4ntu)"  "pf_std_Arizona dust"  "pf_std_C. autotrophica"  "pf_std_C. closterium"  "pf_std_D. salina"  "pf_std_K. mikimotoi"  "pf_std_S. cf. costatum"  "pf_std_Beads_3µm"  "pf_std_Beads_300nm"  "pf_std_Formazin(2ntu)"  "pf_std_Formazin(4ntu)"
146.00  2.1099e-03  8.8531e-04  1.4386e-03    0.010672  3.4568e-03  2.0151e-03   0.0069000  0.0065514   0.0081007   0.0079659  9.9543e-05  0.00030727  4.3945e-04  1.9047e-03  8.0827e-04  4.3914e-04  2.5162e-04  0.0000e+00   0.000000   0.000000
147.00  2.1267e-03  9.0336e-04  1.4554e-03    0.010655  3.4788e-03  2.0324e-03   0.0063736  0.0066937   0.0081178   0.0079777  1.1566e-04  0.00031951  4.5324e-04  1.9983e-03  8.2001e-04  4.4221e-04  3.5291e-05  0.0000e+00   0.000000   0.000000
148.00  2.1484e-03  9.2745e-04  1.4869e-03    0.010649  3.5045e-03  2.0536e-03   0.0090432  0.0068223   0.0081217   0.0079757  1.2967e-04  0.00033583  4.8652e-04  2.0959e-03  8.1689e-04  4.4023e-04  3.6161e-04  0.0000e+00   0.000000   0.000000
149.00  2.1706e-03  9.5616e-04  1.5224e-03    0.010626  3.5403e-03  2.0852e-03   0.0136324  0.0069580   0.0081414   0.0079854  1.4406e-04  0.00035367  5.1603e-04  2.1439e-03  8.1756e-04  4.4577e-04  8.2045e-04  0.0000e+00   0.000000   0.000000
150.00  2.2059e-03  9.8947e-04  1.5619e-03    0.010643  3.5860e-03  2.1272e-03   0.0171020  0.0071008   0.0081771   0.0080069  1.5464e-04  0.00037303  5.4176e-04  2.1777e-03  8.2202e-04  4.5881e-04  1.3470e-03  0.0000e+00   0.000000   0.000000
151.00  2.2338e-03  1.0295e-03  1.6084e-03    0.010650  3.6680e-03  2.1690e-03   0.0168889  0.0072470   0.0082392   0.0080567  1.6541e-04  0.00039584  5.6658e-04  2.2342e-03  8.0336e-04  4.7261e-04  1.6245e-03  0.0000e+00   0.000000   0.000000
152.00  2.2676e-03  1.0749e-03  1.6632e-03    0.010664  3.7763e-03  2.2107e-03   0.0127986  0.0073878   0.0083014   0.0081067  1.7853e-04  0.00042264  5.9945e-04  2.3220e-03  7.5541e-04  4.8424e-04  1.6159e-03  0.0000e+00   0.000000   0.000000
153.00  2.3055e-03  1.1256e-03  1.7265e-03    0.010654  3.9109e-03  2.2524e-03   0.0074142  0.0075232   0.0083636   0.0081570  1.8836e-04  0.00045342  6.4039e-04  2.4055e-03  6.7816e-04  4.9370e-04  1.2812e-03  0.0000e+00   0.000000   0.000000
154.00  2.3468e-03  1.1880e-03  1.7949e-03    0.010637  4.0822e-03  2.2989e-03   0.0041952  0.0076665   0.0084567   0.0082214  2.0879e-04  0.00048203  6.7761e-04  2.4743e-03  5.7058e-04  4.9571e-04  7.9047e-04  0.0000e+00   0.000000   0.000000
155.00  2.4042e-03  1.2617e-03  1.8795e-03    0.010648  4.2809e-03  2.3551e-03   0.0053000  0.0078173   0.0085569   0.0082900  2.3246e-04  0.00051270  7.2226e-04  2.5349e-03  4.5098e-04  4.9413e-04  4.0168e-04  0.0000e+00   0.000000   0.000000
156.00  2.4765e-03  1.3467e-03  1.9801e-03    0.010707  4.5071e-03  2.4210e-03   0.0097477  0.0079755   0.0086642   0.0083631  2.6062e-04  0.00054543  7.7434e-04  2.6043e-03  3.1936e-04  4.8897e-04  2.3718e-04  0.0000e+00   0.000000   0.000000
157.00  2.5610e-03  1.4578e-03  2.0956e-03    0.010772  4.7665e-03  2.4937e-03   0.0142664  0.0081110   0.0087840   0.0084444  2.7971e-04  0.00059447  8.3047e-04  2.7011e-03  1.5634e-04  4.8106e-04  2.1004e-04  0.0000e+00   0.000000   0.000000
158.00  2.6588e-03  1.5890e-03  2.2278e-03    0.010800  5.0562e-03  2.5795e-03   0.0155151  0.0082468   0.0089101   0.0085301  2.9760e-04  0.00065389  8.9360e-04  2.7195e-03  1.2356e-04  4.7701e-04  3.8634e-04  0.0000e+00   0.000000   0.000000
159.00  2.7569e-03  1.7402e-03  2.3769e-03    0.010898  5.3761e-03  2.6784e-03   0.0126664  0.0083828   0.0090424   0.0086203  3.3588e-04  0.00072371  9.6374e-04  2.8233e-03  2.2103e-04  4.7684e-04  6.2230e-04  0.0000e+00   0.000000   0.000000
160.00  2.8698e-03  1.9373e-03  2.5951e-03    0.010989  5.7478e-03  2.8189e-03   0.0080975  0.0084927   0.0092035   0.0087352  3.6937e-04  0.00081724  1.0925e-03  2.9174e-03  4.5568e-04  5.0316e-04  8.7469e-04  0.0000e+00   0.000000   0.000000
161.00  3.0036e-03  2.1592e-03  2.8525e-03    0.011130  6.1690e-03  2.9872e-03   0.0057605  0.0086108   0.0093877   0.0088628  4.0557e-04  0.00091607  1.2387e-03  3.0381e-03  7.1548e-04  5.3749e-04  1.0391e-03  0.0000e+00   0.000000   0.000000
162.00  3.1636e-03  2.4058e-03  3.1490e-03    0.011315  6.6395e-03  3.1834e-03   0.0083262  0.0087369   0.0095950   0.0090029  4.5509e-04  0.00102020  1.4023e-03  3.1847e-03  1.0004e-03  5.7982e-04  1.0320e-03  0.0000e+00   0.000000   0.000000
163.00  3.3423e-03  2.7378e-03  3.5542e-03    0.011538  7.1733e-03  3.4484e-03   0.0147572  0.0088399   0.0097865   0.0091472  4.9985e-04  0.00118002  1.6319e-03  3.3960e-03  1.3199e-03  6.6901e-04  9.8085e-04  0.0000e+00   0.000000   0.000000
164.00  3.5438e-03  3.1457e-03  4.0107e-03    0.011800  7.6549e-03  3.7370e-03   0.0214176  0.0089260   0.0099916   0.0093088  5.5352e-04  0.00138342  1.8594e-03  3.6291e-03  1.5231e-03  7.5382e-04  5.8348e-04  0.0000e+00   0.000000   0.000000
165.00  3.7849e-03  3.6296e-03  4.5186e-03    0.012072  8.0841e-03  4.0492e-03   0.0237411  0.0089951   0.0102104   0.0094880  6.1818e-04  0.00163039  2.0848e-03  3.8454e-03  1.6101e-03  8.3424e-04  1.5383e-04  0.0000e+00   0.000000   0.000000
166.00  4.0669e-03  4.3860e-03  5.2500e-03    0.012376  8.4116e-03  4.5629e-03   0.0197878  0.0090208   0.0104633   0.0097087  6.8417e-04  0.00204431  2.4042e-03  4.0647e-03  1.4340e-03  1.0696e-03  3.1827e-04  0.0000e+00   0.000000   0.000000
167.00  4.4143e-03  5.2776e-03  6.1301e-03    0.012902  8.8187e-03  5.1970e-03   0.0128674  0.0090156   0.0107474   0.0099649  7.5171e-04  0.00249052  2.7590e-03  4.5839e-03  1.2902e-03  1.3673e-03  1.8178e-04  0.0000e+00   0.000000   0.000000
168.00  4.8691e-03  6.3045e-03  7.1588e-03    0.013485  9.3055e-03  5.9515e-03   0.0081878  0.0089796   0.0110627   0.0102565  8.4997e-04  0.00296903  3.1494e-03  5.0384e-03  1.1789e-03  1.7272e-03  1.6489e-04  0.0000e+00   0.000000   0.000000
169.00  5.4017e-03  7.6265e-03  8.7600e-03    0.014371  1.0168e-02  7.1183e-03   0.0105758  0.0089482   0.0115736   0.0107095  9.5961e-04  0.00354341  3.7989e-03  5.8524e-03  1.3095e-03  2.2720e-03  2.9445e-04  0.0000e+00   0.000000   0.000000
170.00  6.1292e-03  9.2655e-03  1.0871e-02    0.015578  1.0958e-02  8.6960e-03   0.0209357  0.0089716   0.0124429   0.0114449  1.0250e-03  0.00446982  4.9884e-03  6.7930e-03  1.2142e-03  3.2367e-03  2.7396e-04  0.0000e+00   0.000000   0.000000
171.00  7.0656e-03  1.1221e-02  1.3493e-02    0.017440  1.1676e-02  1.0685e-02   0.0354348  0.0090498   0.0136708   0.0124626  8.0240e-04  0.00574826  6.7179e-03  8.5316e-03  8.9317e-04  4.6213e-03  8.8743e-04  0.0000e+00   0.000000   0.000000
172.00  8.3417e-03  2.0403e-02  2.3904e-02    0.028290  1.5035e-02  1.8616e-02   0.0503016  0.0090914   0.0161917   0.0145711  0.0000e+00  0.00191609  2.2393e-03  0.0000e+00  2.9772e-04  1.5404e-03  0.0000e+00  0.0000e+00   0.000000   0.000000
173.00  1.1763e-02  3.2953e-02  3.7480e-02    0.039365  2.0927e-02  2.8076e-02   0.0604153  0.0093967   0.0205779   0.0182610  0.0000e+00  0.00000000  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00   0.000000   0.000000
174.00  1.7693e-02  4.8871e-02  5.4221e-02    0.061942  2.9353e-02  3.9065e-02   0.0680856  0.0099658   0.0268294   0.0235323  0.0000e+00  0.00000000  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00   0.000000   0.000000
175.00  2.9719e-02          NA          NA    0.120237          NA          NA   0.0806888         NA          NA          NA  0.0000e+00          NA          NA  0.0000e+00          NA          NA  0.0000e+00          NA         NA         NA
