sample  backscattering ratio (bbp/bp)
Arizona dust  0.0201352
C. autotrophica  0.0073562
C. closterium  0.0113045
D. salina  0.0871129
K. mikimotoi  0.0256559
S. cf. costatum  0.0150452
Beads_3µm  0.0668728
Beads_300nm  0.0337081
Formazin(2ntu)  0.0557714
Formazin(4ntu)  0.0561283
"Angle(deg)"  "pf_Arizona dust"  "pf_C. autotrophica"  "pf_C. closterium"  "pf_D. salina"  "pf_K. mikimotoi"  "pf_S. cf. costatum"  "pf_Beads_3µm"  "pf_Beads_300nm"  "pf_Formazin(2ntu)"  "pf_Formazin(4ntu)"  "pf_std_Arizona dust"  "pf_std_C. autotrophica"  "pf_std_C. closterium"  "pf_std_D. salina"  "pf_std_K. mikimotoi"  "pf_std_S. cf. costatum"  "pf_std_Beads_3µm"  "pf_std_Beads_300nm"  "pf_std_Formazin(2ntu)"  "pf_std_Formazin(4ntu)"
  6.50  5.5175e+00  8.3093e+00  7.9157e+00    4.489281  5.2638e+00  7.3356e+00   5.5603669  0.5772721   5.4558103   5.0956279  2.2232e+00  0.86656493  2.3793e+00  6.6177e-01  1.6991e+00  2.6980e+00  1.8788e+00  9.4551e-03   2.152446   1.530459
  6.75  5.0774e+00  7.5642e+00  7.2072e+00    4.001735  4.9619e+00  6.8086e+00   4.8432967  0.5785811   5.0480022   4.7051767  1.9493e+00  0.60190719  1.9033e+00  6.2615e-01  1.5157e+00  2.4401e+00  1.6181e+00  1.1383e-02   1.893879   1.305168
  7.00  4.7117e+00  6.9255e+00  6.6543e+00    3.584505  4.7033e+00  6.3284e+00   4.2195197  0.5794939   4.6992465   4.3759354  1.7806e+00  0.48915585  1.6903e+00  4.9391e-01  1.3927e+00  2.2473e+00  1.4908e+00  1.3887e-02   1.719483   1.170977
  7.25  4.4411e+00  6.3694e+00  6.2219e+00    3.359552  4.4781e+00  5.8845e+00   3.7494569  0.5800998   4.3962387   4.0941137  1.6403e+00  0.49408685  1.6809e+00  4.8170e-01  1.3164e+00  2.1051e+00  1.3517e+00  1.6837e-02   1.610294   1.107361
  7.50  4.1705e+00  5.8132e+00  5.7896e+00    3.134599  4.2528e+00  5.4405e+00   3.2793941  0.5807057   4.0932309   3.8122919  1.5000e+00  0.49901785  1.6716e+00  4.6950e-01  1.2401e+00  1.9628e+00  1.2127e+00  1.9786e-02   1.501104   1.043746
  7.75  3.8999e+00  5.4131e+00  5.4283e+00    2.909646  4.0507e+00  5.0487e+00   2.8093314  0.5784086   3.8285356   3.5766152  1.3597e+00  0.30133205  1.5617e+00  4.5729e-01  1.1312e+00  1.7467e+00  1.0736e+00  1.8630e-02   1.337733   0.914871
  8.00  3.6293e+00  5.0129e+00  5.0670e+00    2.684693  3.8486e+00  4.6570e+00   2.3392686  0.5761115   3.5638403   3.3409385  1.2194e+00  0.10364624  1.4519e+00  4.4509e-01  1.0223e+00  1.5305e+00  9.3448e-01  1.7474e-02   1.174362   0.785997
  9.00  2.9342e+00  3.9375e+00  3.7099e+00    1.979890  3.1791e+00  3.4460e+00   1.2779498  0.5671616   2.7406616   2.5957211  9.1013e-01  0.10338465  1.0735e+00  2.2146e-01  7.9657e-01  1.1647e+00  6.4699e-01  1.2803e-02   0.874804   0.590241
 10.00  2.4093e+00  3.2088e+00  2.8136e+00    1.576924  2.6477e+00  2.6640e+00   0.6537889  0.5609479   2.1699413   2.0824033  6.8169e-01  0.24767237  7.1120e-01  2.0766e-01  6.1699e-01  7.4571e-01  4.1607e-01  9.8798e-03   0.608411   0.390878
 11.00  2.0013e+00  2.5981e+00  2.1741e+00    1.250511  2.2045e+00  2.0723e+00   0.3571672  0.5561379   1.7369061   1.6851657  5.1745e-01  0.26215784  5.4368e-01  1.4248e-01  4.9546e-01  4.7306e-01  2.1692e-01  7.1580e-03   0.441189   0.270091
 12.00  1.7009e+00  2.0770e+00  1.7213e+00    1.089668  1.8506e+00  1.6930e+00   0.3237346  0.5498577   1.4279315   1.3973927  4.4255e-01  0.18771599  4.6060e-01  1.9048e-01  4.3293e-01  3.9826e-01  1.5983e-01  8.5144e-03   0.359295   0.221998
 13.00  1.4399e+00  1.6200e+00  1.3519e+00    0.913673  1.5759e+00  1.3819e+00   0.3825497  0.5420549   1.1718605   1.1591062  3.4221e-01  0.17283266  3.0847e-01  1.9844e-01  2.8645e-01  2.8264e-01  3.4961e-02  8.3081e-03   0.238316   0.134706
 14.00  1.2416e+00  1.2696e+00  1.0994e+00    0.804312  1.3649e+00  1.1582e+00   0.5743171  0.5334564   0.9967631   0.9925074  2.9795e-01  0.11771252  2.7314e-01  1.7763e-01  2.3003e-01  2.4509e-01  1.9549e-02  8.0248e-03   0.203579   0.115531
 15.00  1.0565e+00  9.5836e-01  8.6896e-01    0.707962  1.1552e+00  9.5184e-01   0.7459565  0.5244549   0.8339377   0.8395013  2.3512e-01  0.11804405  2.0663e-01  1.7522e-01  1.7180e-01  1.8308e-01  2.4693e-02  7.1716e-03   0.151487   0.077133
 16.00  8.1092e-01  8.2198e-01  6.8428e-01    0.711806  9.5639e-01  7.7863e-01   0.8602477  0.5150712   0.6790798   0.7142160  0.0000e+00  0.04216231  6.9208e-02  1.6080e-02  5.7943e-02  6.1302e-02  0.0000e+00  2.4455e-03   0.050883   0.025545
 17.00  7.0574e-01  6.9233e-01  5.4854e-01    0.613920  7.9878e-01  6.4627e-01   0.7905300  0.5045084   0.5636083   0.6145527  0.0000e+00  0.00000000  0.0000e+00  5.9144e-02  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00   0.000000   0.000000
 18.00  6.1315e-01  5.6350e-01  4.6128e-01    0.538132  6.8244e-01  5.5467e-01   0.5995014  0.4927614   0.4880671   0.5399100  0.0000e+00  0.00000000  0.0000e+00  8.6777e-02  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00   0.000000   0.000000
 19.00  5.3459e-01  4.5964e-01  3.9181e-01    0.476820  5.8979e-01  4.8273e-01   0.3948843  0.4806626   0.4400741   0.4807172  0.0000e+00  0.00000000  0.0000e+00  9.9377e-02  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00   0.000000   0.000000
 20.00  4.7418e-01  3.7202e-01  3.3169e-01    0.427376  5.0602e-01  4.1885e-01   0.2768406  0.4672878   0.3961061   0.4283437  0.0000e+00  0.00000000  0.0000e+00  1.0929e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00   0.000000   0.000000
 21.00  4.1399e-01  3.0066e-01  2.8092e-01    0.382790  4.3110e-01  3.6301e-01   0.2693384  0.4526372   0.3561629   0.3827895  0.0000e+00  0.00000000  0.0000e+00  1.1309e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00   0.000000   0.000000
 22.00  3.7361e-01  2.5578e-01  2.4394e-01    0.345052  3.6870e-01  3.1998e-01   0.3578797  0.4426886   0.3219690   0.3446001  0.0000e+00  0.00000000  0.0000e+00  1.1222e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00   0.000000   0.000000
 23.00  3.3218e-01  2.1546e-01  2.1131e-01    0.315045  3.1313e-01  2.8108e-01   0.4677409  0.4306075   0.2910169   0.3106887  0.0000e+00  0.00000000  0.0000e+00  1.1038e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00   0.000000   0.000000
 24.00  2.9681e-01  1.7969e-01  1.8300e-01    0.289677  2.6440e-01  2.4631e-01   0.5209107  0.4163939   0.2633067   0.2810554  0.0000e+00  0.00000000  0.0000e+00  1.0733e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00   0.000000   0.000000
 25.00  2.6548e-01  1.3633e-01  1.5533e-01    0.268870  2.4836e-01  2.0644e-01   0.4823105  0.4064201   0.2403296   0.2598623  0.0000e+00  0.02464158  7.9383e-03  9.9517e-02  2.9641e-02  1.7213e-02  0.0000e+00  0.0000e+00   0.000000   0.000000
 26.00  2.4382e-01  1.0707e-01  1.3341e-01    0.250351  2.2569e-01  1.7637e-01   0.3077196  0.3943581   0.2193946   0.2389786  8.2807e-03  0.03415214  1.0858e-02  9.2303e-02  4.3300e-02  2.4334e-02  9.3245e-02  0.0000e+00   0.000000   0.000000
 27.00  2.2030e-01  9.1904e-02  1.1724e-01    0.232637  1.9639e-01  1.5610e-01   0.2464968  0.3802080   0.2005017   0.2184042  8.4984e-03  0.02853167  8.7599e-03  8.5885e-02  4.0976e-02  2.1362e-02  1.0402e-02  0.0000e+00   0.000000   0.000000
